ItemNr,PopulationEffect,MeanGroup1,SDGroup1,MeanGroup2,SDGroup2,p
1,0,-7.87720396851018,91.5210638941418,10.2053942410166,111.895156605836,0.37858051476286
2,1,29.9942950599301,95.4257802569636,-69.7582663242564,94.3969745208743,8.65010607804292e-07
3,1,-14.7502893852292,91.4569692589411,59.478600362143,77.6394689880341,3.03236176768758e-05
4,1,15.3658961561924,108.016973637002,-65.3887175173415,97.1817163840842,0.00015837621063789
5,0,-6.46789942681328,92.0431802953057,-1.51214921142049,78.7364103076575,0.77295753470757
6,0,-11.9716352949702,93.9445089241153,3.22107498371899,101.766966844596,0.439816581756366
7,0,-19.5683991340265,122.480278490017,17.6520701316108,99.6917558670482,0.0987959475091265
8,0,12.384832817654,93.527609965145,-2.12329592492749,97.5374636893127,0.449577807945016
9,1,-1.60753557695216,106.710087964633,47.1169888281218,93.5019203681941,0.0169904248484157
10,0,-0.907981209283413,106.608321029586,-4.3406706087809,95.0082758027966,0.865378494115769
11,0,-7.58186587754301,96.991525706184,1.76640703387969,90.4611935013946,0.619320315284139
12,1,-3.33781292565966,100.688517968501,55.7417997265457,77.2259951948051,0.00138323702734095
13,0,10.3145665404093,102.96268355412,-3.58246448812294,104.30449163232,0.504132221696237
14,0,-10.5871544109588,102.344946503775,4.49942636717696,119.299809763864,0.498938884214155
15,0,19.6524081902938,100.782936423664,3.39396474244638,109.833421426041,0.442423712384453
16,0,23.3444089682613,103.75449659581,4.97111353685093,100.201664815878,0.369951375358833
17,1,17.3970401269468,91.8161313792626,-36.6857355663156,89.275218471726,0.00356791507485029
18,0,10.6301565103226,116.847023433793,-35.9815088918738,108.310455219096,0.041207744753397
19,0,-9.62659523695314,100.182394845652,-19.4685984230369,116.254830169036,0.651206261840652
20,0,-18.1745811938787,98.0386690628712,5.71711191129435,111.896669729067,0.258902521773827
21,0,-5.0403823266435,95.0065609713618,9.08815033336771,92.5127678720212,0.453029279048938
22,1,3.72417422502688,104.332472196558,-61.4734132090335,89.7114214173362,0.00114677643382751
23,0,19.3046237852817,106.459438169823,16.9151040602549,112.844645231615,0.913494156864922
24,0,-12.4921340764506,107.74921504096,6.02629528769965,112.43837258427,0.402485053940132
25,0,11.8968264245882,113.856949921914,-10.5938832046241,93.6374746789162,0.28332108268592
26,0,-0.947042131181481,100.452685815645,-8.73639433350451,96.534879540201,0.693447284193733
27,0,5.54859935140219,111.387403224899,4.18591763561204,110.751084314356,0.951210548101116
28,1,14.8373582290839,89.8329156230885,70.7027453697888,98.8512078899953,0.00388790966303362
29,0,-7.21260838346838,96.0239219472623,29.1361120767148,101.692359817522,0.0691403565120447
30,1,-11.1339831896527,102.951818270543,61.5042226867578,121.314185870182,0.0016953827085594
31,0,14.9591054224969,98.1350990796219,-21.6593007161602,106.098599196023,0.0762828707736452
32,1,4.42016046297659,102.200127989272,61.1866524194346,97.454918817831,0.00544813644203332
33,0,5.54559873218241,100.935866401389,-2.46075185365676,100.198043621053,0.691453245399444
34,0,-8.91222219702506,97.0007252189363,-10.0043056800601,104.003060617879,0.956807844638463
35,0,-21.599266190297,103.530774957358,9.63876836762713,113.11611291417,0.152919504384086
36,0,-5.16743832426467,84.2654980804267,11.8935004806234,91.8611462016143,0.335539104865246
37,0,19.8925225868945,98.9110099764233,-18.9510935743169,106.117925361419,0.0612581608196094
38,0,3.41070229874356,92.4464060622987,-6.68922680337075,95.793717267184,0.592856268411289
39,0,12.2272980722381,86.6024526478534,2.49219920561712,105.511212710539,0.615182815172656
40,0,0.693137394880747,92.5243065099231,-19.7770413873364,101.553189512889,0.294655512734192
