y,A,B
124.118122471228,1,1
79.9616883833082,1,1
101.762006123604,1,1
98.8844907735821,1,1
113.239709364762,1,1
91.5128517899548,1,1
102.815534801501,1,1
94.3541939942154,1,1
87.8245343720856,1,1
118.926280411104,1,1
102.664565648895,1,1
88.8296333283097,1,1
86.4209575486585,1,1
91.1185579627214,1,1
77.3828982484047,1,1
93.7674504329103,1,1
101.839500752936,1,1
95.546126380055,1,1
120.177011556164,1,1
104.112919060901,1,1
107.754233251795,2,1
91.0959317802669,2,1
91.2078000578265,2,1
97.6685575915961,2,1
85.4119648319473,2,1
92.0647543372922,2,1
111.645537418166,2,1
92.7442039971076,2,1
79.4172727490993,2,1
85.6667847011005,2,1
101.886732737708,2,1
105.166413840325,2,1
90.6020377693586,2,1
100.680757893236,2,1
105.263154438964,2,1
105.589096359746,2,1
80.2931389830456,2,1
122.202603457993,2,1
100.347209841912,2,1
90.6560485270276,2,1
101.523791054205,3,1
82.198250313009,3,1
108.554511032491,3,1
90.0462833565543,3,1
103.649368073482,3,1
138.849129973873,3,1
71.9597448639837,3,1
109.423624945686,3,1
112.841700338462,3,1
74.9123533424511,3,1
86.6482495683711,3,1
88.5241138188079,3,1
93.4343973063061,3,1
100.19693689014,3,1
101.209844583884,3,1
76.2599086868297,3,1
98.8962842703279,3,1
87.4619466042627,3,1
94.6351264313723,3,1
92.8015234305183,3,1
99.2127892002237,1,2
113.123373584028,1,2
89.3953853307872,1,2
112.200927654874,1,2
90.8381698900571,1,2
81.8768699043883,1,2
98.8816303750332,1,2
96.3107661514742,1,2
99.2720525189584,1,2
116.273991299234,1,2
89.6091270987696,1,2
80.469468957979,1,2
96.0912386647412,1,2
108.083941722429,1,2
100.301737668278,1,2
96.1817740874974,1,2
64.4785157374136,1,2
104.219141410559,1,2
118.827747804323,1,2
95.0305933781659,1,2
103.873199488067,2,2
140.926899993232,2,2
127.932061794898,2,2
133.298138485868,2,2
122.182327707341,2,2
111.497543885617,2,2
100.358220159972,2,2
93.4957399548171,2,2
106.734744475342,2,2
110.912748064019,2,2
98.7172005596178,2,2
93.8835916856053,2,2
109.945242369377,2,2
139.663632359779,2,2
106.102242918825,2,2
117.817431732096,2,2
107.563488032168,2,2
129.140317404636,2,2
127.310614087737,2,2
102.220575745599,2,2
76.9724472188144,3,2
95.8197588101206,3,2
72.4567466727982,3,2
74.4033877598989,3,2
104.112069593,3,2
98.5572812629902,3,2
111.194161203719,3,2
86.2370411241155,3,2
107.674063024256,3,2
90.0712228720529,3,2
90.6744877843778,3,2
117.024806693785,3,2
99.8434433311866,3,2
95.7780363481408,3,2
91.6085874871971,3,2
108.224334232271,3,2
126.49639129968,3,2
59.7345251747851,3,2
90.8561483531212,3,2
103.398435124154,3,2
