GroupA,GroupB
78.9297139518225,93.0383959720799
89.9362334313507,94.1376852631863
69.8377819259365,77.3481525514527
83.6783223499563,82.1747606276495
52.8630011651486,58.1718212147494
54.2472860079976,62.1103234574189
53.801452867329,69.5925401731973
60.3556051591727,63.0626811324102
77.4533529371829,79.5062777011248
81.0666602582366,83.9869624237339
47.181533899252,42.0781976487673
91.6091479899775,94.1920038774963
75.8814167175911,75.2152976409089
74.5886608467183,76.5820408578618
80.474222721501,79.251172244653
101.179494837104,106.042371345387
77.9967472834557,87.4110280586554
89.6905554364559,75.4687098007272
61.6317232444017,68.2885599968443
88.6875931622412,95.7657382706308
85.4308920035862,95.4797752194353
74.8488860308582,75.6364032139811
66.896614228119,84.4821755621682
68.9384060413731,65.7671596859977
50.9541923755039,59.6643561959467
81.2749353359253,84.9523192455031
86.646176069133,83.0230005466091
76.5840738698487,82.6642649511068
62.7116465211781,69.7599367801671
85.6106958196407,86.9209998762372
68.1902327411102,77.5386501941083
45.846540375929,44.015329836361
63.0905798662951,69.6737817598275
63.2940776419862,68.1982179337493
63.1350817169366,61.5554895873787
