ItemNr,PopulationEffect,MeanGroup1,SDGroup1,MeanGroup2,SDGroup2,p
1,0,6.86566287286208,93.2431855357111,3.5328213600675,92.8490451996028,0.85823221840011
2,0,-19.1036427394539,90.1604914631164,-16.1773245435772,88.9836047852579,0.8705820534346
3,1,-15.7470609512648,102.164439447984,-34.0914461708983,93.4175034511226,0.351060946810197
4,1,6.62165881799691,83.4921262952148,58.5310060730448,89.4206696946278,0.00342027841601124
5,0,-12.7835649032908,104.391452107244,-12.9187336346348,113.932785436711,0.995077459054407
6,0,-22.6957206368348,105.862813487017,-7.36520839070369,97.4413536640095,0.453002835420255
7,1,6.96281219159643,96.0668908114218,-35.1321004921698,82.9169841829272,0.0210136739296601
8,1,-5.04582911836257,105.239143174205,35.8927662605312,99.3061918073479,0.0482016554359976
9,0,19.9408650288001,104.832600618209,-1.61231186343744,88.1821191354443,0.268632869195015
10,0,-9.18780360706984,89.23874344334,-19.9995777226088,108.420053341232,0.587379345021361
11,0,0.130254178730409,121.175265278648,24.2295789272685,92.1169854150066,0.265649781215654
12,0,9.43742179563017,117.013086677328,7.70754314623395,101.474514986318,0.937213015697468
13,0,31.448693286642,108.627313422614,-5.72563811286892,88.7282191674604,0.0638927702809219
14,0,10.6576606344608,89.9003502809468,-6.57000120990861,101.299460167069,0.370627259094143
15,1,-9.2503790464024,105.470703360089,-62.1625451815144,99.0059025878898,0.0111687417630569
16,0,-1.84439369570959,105.823717761855,6.62894609960833,112.052204132142,0.698306008748301
17,1,5.17600086018552,105.475428832488,-41.2498905380882,79.4411648327964,0.014606110525482
18,0,20.5847546370586,96.4758214543396,2.23768416943271,112.900507354939,0.384477963327177
19,1,-7.21671483829095,126.894244559428,55.3545624807633,99.6685151659279,0.0072593478207981
20,0,-2.13222608588872,104.147175800257,21.8065264016406,102.453117197555,0.249410488576664
21,0,6.39602609550623,92.0128932397882,-19.0754493417181,123.708497514899,0.245553926939065
22,1,10.4735815850901,117.295995490316,-58.3143595081882,99.9414051374685,0.00212231536808446
23,0,25.5369730941297,117.495132907233,-13.0467842416779,92.3186539370201,0.0709173540014366
24,0,-7.99443771945772,96.4624830096199,-16.3004660594603,91.8156195569079,0.660167679154226
25,0,-13.2752473534253,84.3432437210433,0.00187462357180507,80.3991946261099,0.422365810141797
26,0,9.03616250223758,110.842947098601,-3.27963186278148,111.483674441641,0.580876096147385
27,1,-18.0638570796055,90.4771016180507,55.6420839501885,102.978672861413,0.000249492352964878
28,0,-13.2872061622375,87.4839124894874,3.430355160784,100.347857054149,0.376742643002773
29,0,2.23755581268078,90.1504895875956,0.147154311541377,87.635963081456,0.906650909423448
30,1,16.4206595305771,110.055172329357,-62.9189487138886,98.6845157858524,0.000255499001443453
31,0,-17.0759410587448,89.2532810470187,-9.79414498758456,98.5776152125779,0.699446650827273
32,0,18.5155403489522,94.1285982209008,19.059741584206,86.8556415381074,0.976092477850485
33,0,4.26339887871837,85.1586957846152,-3.24640144821035,99.8277348788387,0.68658401903063
34,0,-1.87622829744115,99.8284160077979,-7.20414528722942,99.6295480876146,0.789938346587751
35,0,1.57924683567152,101.363064835902,-14.2745153657969,107.276527115783,0.449341779215788
36,0,-8.96702770972422,112.077767692516,30.513553143461,107.635146671223,0.0754880276936395
37,0,33.9107962493379,90.5188230966682,-10.8154711920881,90.2543612073668,0.0150736925407301
38,0,1.55963516179596,94.1324241405581,-9.35026741112276,121.249607604436,0.616394340960697
39,0,17.8951377810176,101.724190367224,-19.0177313654957,116.989961080498,0.0954369162313708
40,0,-21.4053008636707,85.5119731504577,0.793934085755503,99.2059177908859,0.233611756497996
