y,A,B
76.6903146695593,1,1
98.137396709696,1,1
95.4191293954126,1,1
111.49776764101,1,1
123.697515550447,1,1
76.5612567174729,1,1
97.4241217014587,1,1
107.506463947194,1,1
107.946164218479,1,1
95.0885907224699,1,1
72.5513665126392,1,1
100.129475101391,1,1
112.718663824927,1,1
101.86873609681,1,1
118.916216089253,1,1
88.6323510219568,1,1
95.9067137141616,1,1
98.2199833853139,1,1
78.6435063718934,1,1
79.8198752591796,1,1
99.9655838719461,2,1
94.743406965812,2,1
103.410403119338,2,1
75.3447038628384,2,1
94.6603142164679,2,1
74.1830757222891,2,1
117.672780040909,2,1
91.6008979863903,2,1
114.621827869572,2,1
114.295699468481,2,1
95.5997878543025,2,1
116.488684547271,2,1
120.25761020138,2,1
110.404992246444,2,1
89.2152638476765,2,1
73.8260439560289,2,1
94.7901762640079,2,1
81.8393844630465,2,1
103.702191783196,2,1
107.071206095796,2,1
107.768909212427,3,1
97.0300476812373,3,1
80.8025951929384,3,1
88.2658290104749,3,1
87.6986120290262,3,1
108.48753511828,3,1
110.783429012733,3,1
79.4082350222677,3,1
121.37570116317,3,1
95.9414108963775,3,1
98.0197902645063,3,1
91.1560718166801,3,1
113.155535653638,3,1
109.558275743694,3,1
100.578080122131,3,1
111.588145212435,3,1
87.4383059924499,3,1
111.592833382221,3,1
86.1650464944086,3,1
104.196630521898,3,1
104.994536320992,1,2
108.36182713231,1,2
91.0103263999391,1,2
116.435643948296,1,2
105.960464460051,1,2
83.8207903479383,1,2
108.100123980524,1,2
111.972006443667,1,2
96.6914822035139,1,2
121.964533989645,1,2
79.0282312351274,1,2
115.082460321357,1,2
92.2279721378236,1,2
89.7175004091475,1,2
104.408954456247,1,2
108.20377214563,1,2
93.3915815913048,1,2
108.093652654274,1,2
91.2652563894991,1,2
123.291600145817,1,2
91.603930175832,2,2
120.900101754202,2,2
128.116763060675,2,2
104.749669932195,2,2
94.3449498869587,2,2
110.588546323169,2,2
125.937659484292,2,2
94.6765339149514,2,2
129.4064577339,2,2
113.868721271287,2,2
111.697410105355,2,2
128.835724446698,2,2
112.017693278819,2,2
128.256669898683,2,2
116.079682808737,2,2
93.4766105634514,2,2
122.688113208643,2,2
127.390347900476,2,2
127.282223944185,2,2
122.119609750486,2,2
101.353974888107,3,2
108.809789282433,3,2
83.1881447998825,3,2
100.918353213624,3,2
107.925231959643,3,2
97.6599598088157,3,2
107.746745992202,3,2
88.6999228209225,3,2
105.842581500069,3,2
107.967907066167,3,2
66.9988906726705,3,2
107.812008704545,3,2
82.9197996392627,3,2
121.26635029543,3,2
93.721859394422,3,2
93.3184843578948,3,2
117.708922680744,3,2
98.2480043554688,3,2
104.588551984204,3,2
100.900414294977,3,2
