y,cov,group
38.5842949944757,10.412885095772,1
44.1873359054333,11.0020838063478,1
52.0941889029913,6.41467347208011,1
59.5552119281565,14.3459816130305,1
54.8368099270627,9.04710915672159,1
61.1681311005828,11.9840071412084,1
26.3651472487239,14.1341470954617,1
52.5088859930436,5.55338321659196,1
32.8058293706505,10.7581587160029,1
50.6738106322962,9.63015201131637,1
52.4955768776366,12.1358892791449,1
53.5521841048449,11.4609259480303,1
51.3875548750472,16.1865139950909,1
42.8950615313391,8.94947737557476,1
65.6878976523833,10.0081254405523,1
71.0811043943828,4.85139199819597,1
41.3994120814324,12.5149029679981,1
49.1359732690374,6.66274721481734,1
37.3703178885878,14.6988492734622,1
68.0731667509745,5.97419705123226,1
42.855888194642,6.69440083887951,1
38.2699789970697,12.7869368564341,1
48.118245145235,13.3693549506002,1
40.2185469132621,12.4498510582082,1
48.1930387514214,6.52261406383694,1
40.2366820016527,11.9077044303617,1
58.8296009437272,6.76647742991486,1
62.1909118918177,7.38806286045998,1
60.8247921665215,6.9814205479416,1
39.5760204653996,10.1611570965369,1
33.0693385522533,20.7644162169773,2
41.0601440380553,16.6647967257978,2
41.6556223123158,17.6151682072146,2
49.1182038843881,12.9712689386256,2
60.2669797331479,17.5577671167891,2
48.8588284068743,15.9625531932473,2
55.6836361179829,20.5507678341111,2
38.6849147088504,19.2817476630325,2
37.3692169958272,14.8120750415625,2
37.2298130630298,16.2402951856067,2
49.2730960588084,13.0797521040754,2
27.3721869758595,19.8396168153545,2
30.8380490992839,17.5787311423722,2
45.041431144329,16.5658666133034,2
31.8091922070772,19.9045850643868,2
57.6758485840988,15.9783582726843,2
54.94288378383,14.0975670609619,2
24.477376055792,16.3374712139068,2
34.2102695363453,15.6862410434681,2
42.9608272679039,16.5731394907083,2
43.4365745430293,20.1522597560117,2
45.4862404630971,12.756332506867,2
40.8050128438274,18.4017565724481,2
51.6736228049506,13.9414651974399,2
48.5228431361777,14.1711339033604,2
48.0609672470236,13.1058632704334,2
37.8792158712005,18.0380642047284,2
25.2169538618897,16.2783609473766,2
36.5563124889277,18.1458422038749,2
50.3725665222421,11.9977367545791,2
