GroupA,GroupB
72.1949258163053,75.6283661197918
66.9491928545643,65.2921385242661
70.6190393691072,68.2090715486019
66.4273494162303,71.732183741078
65.8951071187881,67.5379719586201
91.7427061921409,87.1291805487712
77.4973877006643,88.5848477956555
112.069974316885,115.403727397569
95.1698363908002,97.0112551212329
91.3032559329772,95.5179382230903
76.5354564456155,58.6073902248677
73.4548182819209,77.2331217240352
63.5743985328498,66.7361481570053
77.8581921505212,74.391669564129
84.4767191459067,83.5100870390836
64.0010113687286,62.7503873387165
70.8295777674799,73.7342261879325
66.8075709494849,76.7878499044545
76.388413748215,83.6351461142742
78.9771945892466,85.9162674327208
71.5244214882099,75.6673118876754
69.7663200550926,80.8324497663032
81.0830661148138,64.8221667494201
35.2102303174179,47.2240077347858
55.5048088409382,66.3655015596767
94.6725131405365,92.8233420967736
72.1399444580805,77.8064678765422
59.236602430185,72.1556221883495
73.2185138928682,72.4918048711607
63.5469195432093,75.5387319650716
101.018620517679,103.683881863769
59.4563113908419,66.6984057380698
78.3638578824497,82.4929590863016
53.8242378766678,66.7053047628938
82.629156345482,88.7584972766208
